"Week","SKU.A.2","SKU.B.2","SKU.C.1","SKU.C.2","SKU.F.1","SKU.F.2","SKU.H.2","SKU.I.2","SKU.J.2","SKU.K.2","SKU.L.1","SKU.L.2","SKU.M.2","SKU.O.1","SKU.O.2","SKU.Q.2","SKU.S.2","SKU.B.1","SKU.E.2","SKU.G.2","SKU.H.1","SKU.K.1","SKU.N.2","SKU.Q.1","SKU.M.1","SKU.Q.3","SKU.C.3","SKU.F.3","SKU.H.3","SKU.K.3","SKU.O.3","SKU.B.3","SKU.G.3","SKU.L.3","SKU.N.3","SKU.A.3","SKU.E.3","SKU.I.3","SKU.S.3","SKU.U.3","SKU.T.3","SKU.J.3","SKU.B.4","SKU.O.4","SKU.Q.4","SKU.U.4","SKU.W.4","SKU.C.4","SKU.K.4","SKU.L.4","SKU.A.4","SKU.T.4","SKU.D.4","SKU.F.4","SKU.G.4","SKU.H.4","SKU.V.4","SKU.I.4","SKU.N.4","SKU.R.4","SKU.S.4","SKU.J.4","SKU.E.4","SKU.P.4","SKU.A.5","SKU.D.5","SKU.K.5","SKU.C.5","SKU.B.5","SKU.R.5","SKU.T.5","SKU.U.5","SKU.V.5","SKU.Y.5","SKU.X.5","SKU.L.5","SKU.Q.5","SKU.S.5","SKU.W.5","SKU.J.5","SKU.E.5","SKU.F.5","SKU.H.5","SKU.N.5","SKU.I.5","SKU.G.5"
44,6131,64888,1752,174125,159,88534,72771,40128,1114,46974,NA,44268,19745,111,85509,34873,48726,NA,10827,1210,NA,0,12660,NA,NA,85430,173407,102150,52867,159076,34905,90924,22930,43630,26894,24681,17197,16559,66879,76067,35604,4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,11624,64969,1290,160510,2548,29936,74682,36465,2707,54140,NA,69268,15764,0,57165,24204,32006,NA,13377,1353,NA,0,8759,NA,NA,124013,58120,92356,40446,67357,38535,59713,13853,27866,39809,6211,8598,6210,48726,41720,25956,1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,17993,75478,NA,118629,NA,37580,75159,29299,764,37897,NA,39490,21816,32,51273,34236,30413,NA,10191,2469,NA,80,12739,NA,NA,62770,62102,77070,45540,74204,32962,37102,12341,21178,17197,12468,10812,17117,32802,65398,9602,1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,11783,81688,NA,154140,NA,73726,62579,21497,3057,21973,NA,31051,8758,48,73408,18950,34235,NA,6369,9554,NA,64,7165,NA,NA,64649,87738,85988,43313,86145,46497,51115,12533,33120,22770,35907,18869,20860,73805,88694,9475,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,17994,87580,NA,196497,NA,60987,61465,23567,4315,35907,NA,51594,14172,0,67356,28821,43631,NA,4697,8041,NA,0,10828,NA,NA,119905,116083,112739,56688,131847,36465,89490,17038,54777,23567,29936,37261,20860,58360,49396,28535,3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,18471,75319,NA,161624,NA,22771,42994,24044,2867,35668,NA,37739,10828,96,53184,16720,33280,NA,21336,6688,NA,32,8758,NA,NA,78343,127548,149841,55254,172930,46974,98567,21019,36942,24045,36624,6926,30509,78344,59394,15319,2388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,10350,77866,NA,168471,NA,35351,86624,21974,2228,28504,NA,65765,15924,127,107963,38503,38057,NA,22628,2946,NA,48,7165,NA,NA,111624,170064,210826,95573,157165,89968,95382,27389,50159,34076,58582,24761,12897,77388,46975,31305,4252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,13376,107643,NA,228662,NA,62596,120223,24841,1751,42357,NA,33758,14968,NA,64012,27228,36783,NA,28009,0,NA,48,12261,NA,NA,101114,150159,137579,84712,178822,35668,142516,12102,43631,18948,26990,20860,20064,81370,62246,28806,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,12579,77071,NA,142515,NA,18630,72134,17914,891,24204,NA,42994,13694,NA,42356,32962,37580,NA,28104,1639,NA,NA,4776,NA,NA,158439,158121,136305,114491,120224,78821,147133,27866,47771,33281,46178,10509,25319,72293,98822,40621,1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,12899,63854,NA,108757,NA,25000,111625,17516,669,29140,NA,64650,17197,NA,94904,41464,59713,NA,13773,3949,NA,NA,13456,NA,NA,102548,158280,145859,55733,163376,57644,95541,27468,63695,43312,17277,26752,34602,64332,95350,39761,4236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,4617,56689,NA,78982,NA,43630,62898,11784,557,32962,NA,24062,11305,NA,57167,31051,57643,NA,8439,2150,NA,NA,9395,NA,NA,80732,187262,220063,73089,228026,56529,141163,39649,51115,34873,54347,15128,18790,106273,91799,37740,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,15924,64332,NA,201862,NA,46338,63375,12261,5254,41401,NA,41577,15526,NA,48089,38535,29299,NA,10032,2467,NA,NA,6782,NA,NA,144905,231687,186306,105733,151433,71975,111307,16401,68790,38695,42754,26592,19348,93471,123774,32070,6370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,13694,47611,NA,99045,NA,19109,39968,9315,1433,21655,NA,17197,14331,NA,45860,14331,14808,NA,7006,2611,NA,NA,4936,NA,NA,82165,121975,181210,55574,150158,44267,149045,21975,69586,23886,42516,26482,24046,41720,60112,35207,9092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,7644,60031,NA,75796,NA,9554,93471,14808,2469,14967,NA,26910,17516,NA,61624,15924,39330,NA,4140,955,NA,NA,4379,NA,NA,117277,174203,154937,68949,201115,51114,103264,18789,64809,41401,31846,14173,21179,58916,78008,25064,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,3662,39969,NA,41719,NA,39013,60509,22292,669,22930,NA,84076,9840,NA,35032,11784,14730,NA,955,2866,NA,NA,10988,NA,NA,95861,106051,126991,71655,143439,46816,80733,15924,57006,34235,41084,19107,12898,53343,57197,23407,13232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,9394,52547,NA,55175,NA,32643,42038,21337,478,25716,NA,79824,5254,NA,57642,17356,20860,NA,31482,1592,NA,NA,9076,NA,NA,98090,130732,102310,49523,133916,89173,77309,26991,63695,54061,18073,18790,18153,67564,61194,34777,18168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,5255,64809,NA,109379,NA,25971,45859,16019,207,30653,NA,37054,15127,NA,76910,12579,24044,NA,9300,159,NA,NA,6847,NA,NA,119347,181687,194825,78184,204937,82325,157006,33185,67356,26751,72038,21338,20144,90126,97118,40860,4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,10191,62421,NA,52070,NA,15430,60382,18725,4140,38535,NA,74378,4618,NA,61624,22149,18327,NA,8759,1735,NA,NA,4969,NA,NA,160493,180572,214649,93885,157246,68853,95637,35350,65891,32771,39426,24858,25686,77006,94234,35159,9968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,10829,65446,NA,80971,NA,27501,59474,16273,398,26799,NA,34666,10987,NA,66178,19808,21131,NA,7469,1163,NA,NA,7643,NA,NA,147055,231846,125382,93376,164395,95383,107914,19252,98504,50797,45144,8758,22978,82007,123216,27469,15334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,8997,53058,NA,87898,NA,13790,51432,13010,2547,23566,NA,80892,7930,NA,43790,27786,29809,NA,15318,1990,NA,NA,6545,NA,NA,157978,199363,157071,91338,158886,82261,151209,37531,75159,35861,53662,26577,31036,71337,108726,15652,7802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,15764,41449,NA,104792,NA,14489,50494,14459,1194,20222,NA,38438,8583,NA,35765,26067,17659,NA,6241,987,NA,NA,4745,NA,NA,141401,174029,210828,59506,232484,70924,93758,30829,81577,22819,15016,33870,18281,77706,74298,41927,3980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,5891,70287,NA,78471,NA,18233,79665,18074,636,22421,NA,18088,8790,NA,51147,25223,43328,NA,2548,955,NA,NA,5080,NA,NA,146304,221831,140015,80015,169888,94697,112325,28090,49331,44586,47930,21496,24633,82483,90239,37150,3138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,4379,61496,NA,75446,NA,34093,45542,17086,477,15445,NA,89124,5859,NA,49682,17198,22898,NA,3535,1290,NA,NA,6528,NA,NA,111975,143471,140876,76593,229141,102087,122293,30859,63456,36146,27595,36306,17054,109905,118455,21657,4857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,8280,61018,NA,92198,NA,20063,38136,7851,478,32086,NA,41560,11943,NA,56847,15892,21163,NA,1751,1751,NA,NA,3519,NA,NA,197372,159554,183917,56896,251273,90127,127069,27261,53614,22929,40764,40605,43041,93535,118774,64506,1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,5733,48566,NA,60876,NA,49523,29299,12404,398,27627,NA,23408,8630,NA,35685,17596,14314,NA,1911,733,NA,NA,4618,NA,NA,89108,189379,153185,77500,214013,86465,165288,20860,33200,32802,44029,43122,31974,54921,86385,20303,3345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,9076,45542,NA,77915,NA,16720,42515,11210,2229,21019,NA,16290,10827,NA,36386,23583,19061,NA,3711,2293,NA,NA,3838,NA,NA,98360,215382,191672,92563,115287,77738,105095,22643,61783,22707,63535,29888,36800,47468,79251,15080,6481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,7501,55335,NA,71242,NA,31370,69220,18392,0,12994,NA,66560,10509,NA,43026,26959,17643,NA,8216,2341,NA,NA,5573,NA,NA,148073,184760,198663,64491,200207,49968,104635,28120,65446,46098,53503,58280,21242,89156,115541,34555,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,5812,29475,NA,60939,NA,24841,32007,15063,1943,15286,NA,6290,5255,NA,49124,11704,17515,NA,1592,541,NA,NA,7468,NA,NA,86847,176258,169904,55652,242040,98550,95381,28584,46959,29889,36146,17372,21258,105637,116879,23646,10031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,6050,38360,NA,42087,NA,41943,26895,10716,143,25000,NA,77564,5747,NA,30048,18058,23153,NA,1991,159,NA,NA,7563,NA,NA,113343,180366,185860,60398,282867,74602,121019,28948,87946,22547,33153,14953,23885,98583,94427,19236,8535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,5414,49458,NA,71018,NA,39809,67356,15924,0,12548,NA,85700,14378,NA,51911,14490,15621,NA,2547,1593,NA,NA,5382,NA,NA,116927,197547,121417,71225,215303,55733,121338,26433,78519,33185,72452,17325,19713,63551,54617,48248,11306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,4299,29410,NA,115446,NA,13980,44092,9061,0,31050,NA,49362,4490,NA,44857,9585,10431,NA,7819,605,NA,NA,7388,NA,NA,128344,215478,196338,57771,186577,70860,113344,29856,34602,29299,40876,45588,40795,67898,100524,52054,13058,478,2707,2389,159,3822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,11131,23775,NA,73248,NA,16688,44857,13201,0,27786,NA,25796,6560,NA,37978,24331,16561,NA,2070,NA,NA,NA,7324,NA,NA,143534,250175,247930,60620,176195,95637,146974,22771,76480,24044,58201,19905,16688,66146,56688,32069,6847,477,159,159,0,4299,955,1751,1035,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,5334,23822,NA,64968,NA,21592,45860,6815,0,16051,NA,32484,3408,NA,40366,10334,10429,NA,5063,NA,NA,NA,2691,NA,NA,89569,149873,117197,57165,167007,43391,97357,24299,70207,21179,43184,59395,23360,39713,67659,19681,24044,2388,1752,318,0,0,2070,159,0,0,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,7293,24204,NA,45399,NA,32564,85748,9937,0,14809,NA,64856,9905,NA,46576,18281,13057,NA,876,NA,NA,NA,4713,NA,NA,102277,250541,181322,78487,240684,88646,168806,21497,111640,33678,72787,64267,17739,66974,64267,27675,44666,12738,796,2707,3981,955,19426,9554,159,5891,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,11943,18694,NA,88599,NA,41273,36528,12818,0,17914,NA,19108,15175,NA,54857,18869,14888,NA,4889,NA,NA,NA,8169,NA,NA,173567,185908,243853,73025,239953,63152,104125,18472,87595,60286,27867,15684,23408,116337,65446,52692,25732,15923,3822,1513,2229,1242,13598,5971,270,5573,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,8599,20223,NA,68790,NA,13822,47675,10796,0,20064,NA,30016,4936,NA,50796,16322,10668,NA,5383,NA,NA,NA,8647,NA,NA,128503,209873,167038,127611,241321,41592,99841,33695,83120,36466,41879,25158,22993,81846,102707,63949,8916,8519,4458,7882,3343,2707,16561,12420,2436,5319,637,207,5191,318,4140,239,1752,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,8200,24650,NA,68392,NA,16242,44427,12739,0,20542,NA,8836,9713,NA,48392,10079,27389,NA,5414,NA,NA,NA,2516,NA,NA,105414,160191,106688,80350,249061,64729,85907,38949,69108,21657,8598,13535,30637,89808,104442,50526,23089,12181,3615,8439,0,3821,21496,11847,3822,10988,1433,159,15829,80,4761,1194,1433,1751,3312,7325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,6926,27070,NA,78821,NA,22451,44586,9937,0,28582,NA,12262,8488,NA,66561,18711,17675,NA,461,NA,NA,NA,5048,NA,NA,116241,138534,116879,57930,326481,48248,97612,33774,103232,36306,25733,20541,28041,70382,48248,63280,26672,22690,4856,17356,955,3980,28058,17038,7165,9076,3137,892,17675,2102,11831,4937,1592,3184,2739,6768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,3120,30796,NA,76433,NA,10191,33360,10446,0,20781,NA,18503,8042,NA,42914,13853,19746,NA,5255,NA,NA,NA,5908,NA,NA,100335,239968,122612,60796,157294,40127,180016,28774,81211,30255,107803,17532,21608,55573,110828,44586,14793,32166,6051,7325,5733,4458,29220,15923,8917,13216,1592,2962,15764,2070,9952,5255,2389,4458,3694,7214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,4633,28265,NA,51321,NA,8917,39012,10112,0,9394,NA,17388,6194,NA,44028,9077,3981,NA,5175,NA,NA,NA,3996,NA,NA,123679,176831,117038,65383,154061,72325,124841,43503,62723,39362,46816,40923,16767,69251,69745,23344,18153,9427,54459,26911,22452,9013,58073,37978,22451,6369,8598,5143,42436,7086,20414,10350,5892,9268,22452,10827,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2898,21592,NA,39967,NA,8439,22850,9713,0,11878,NA,30573,3168,NA,24060,10907,16003,NA,3264,NA,NA,NA,6592,NA,NA,60031,156687,159395,33328,145940,38918,109873,19362,43789,17117,25716,21655,19331,38217,69744,15287,22294,12340,32547,23408,80096,8041,32006,45540,17197,17994,5334,5016,46656,3662,20382,3025,9793,8153,10668,15445,955,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,6211,32675,NA,51433,NA,17197,22372,10509,0,10828,NA,16719,4935,NA,34236,5891,10828,NA,1194,NA,NA,NA,1560,NA,NA,121847,184395,129299,60686,153392,73854,83441,22007,60668,34475,72771,35509,11911,56641,120222,35828,34395,11305,16879,12818,16846,4888,37580,28343,14172,14809,6942,2930,38678,5064,30573,8121,7007,13997,8598,10350,2739,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,5732,35908,NA,33121,NA,16131,29299,8200,0,10509,NA,7803,6370,NA,27070,7006,15127,NA,4141,NA,NA,NA,6352,NA,NA,115604,206688,178025,51449,141114,32802,140287,22229,35988,25796,40127,14283,29125,60765,76752,27388,27706,15763,27229,32802,11385,7643,61942,44745,47835,21657,19904,6290,76990,8790,35286,4061,12198,14204,9554,26752,1035,1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,3742,31943,NA,85828,NA,9713,32325,9315,0,15207,NA,9396,6131,NA,32245,28662,16831,NA,4061,NA,NA,NA,7484,NA,NA,66497,216321,160511,160096,162420,43932,109396,20333,36465,20383,57214,32181,18295,39013,107483,46497,17993,18312,27071,32802,13694,7643,77548,46815,14490,13375,14968,6926,81527,11162,37022,4618,9236,13329,7166,13693,955,1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,4538,20366,NA,49999,NA,8439,36784,8598,0,11307,NA,64331,5094,NA,24363,10907,13694,NA,1401,NA,NA,NA,3504,NA,NA,44267,190191,143949,126847,100797,38950,141879,22930,43328,18153,78264,8057,11625,48089,82628,30892,14809,33678,10509,34554,9714,4760,62580,42993,13853,30255,13535,8646,61146,12182,41401,3343,9585,11863,5892,15605,2548,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,6051,32994,NA,43472,NA,7165,17038,5414,0,17117,NA,34315,3105,NA,38853,1115,12102,NA,7325,NA,NA,NA,1895,NA,NA,8279,159554,104299,68678,99999,25478,88535,33121,21338,25828,17834,13615,12739,51146,72453,39219,318,63056,12261,12421,17755,11465,113709,40765,11147,15446,3105,10112,55255,11655,39332,8598,14808,24045,955,18472,955,1433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,8757,46353,NA,74920,NA,13057,49348,6370,0,27070,NA,21815,17198,NA,39013,3663,12484,NA,1751,NA,NA,NA,5254,NA,NA,59395,233120,139810,71656,108599,32484,105733,27070,26974,39315,30255,9314,17914,68201,79617,24363,159,56528,14491,23886,19505,14570,111306,49362,16561,44108,3821,11783,66146,6529,28725,8997,9394,15542,18312,16241,2149,1752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1592,11465,NA,46178,NA,2229,27548,3583,0,7166,NA,9554,3503,NA,8758,1911,5732,NA,3790,NA,NA,NA,3025,NA,NA,35031,126592,137898,53662,70382,18998,79618,4299,14809,20939,47771,14330,9236,38376,25955,20064,0,30891,26274,4792,18152,5095,55255,33758,14251,19744,4298,9394,36322,10510,33616,5254,11464,16082,2707,11305,1035,2229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,3025,27070,NA,23806,NA,6609,32961,5493,0,8520,NA,9554,5096,NA,3822,8440,6051,NA,1099,NA,NA,NA,796,NA,NA,51433,88376,85987,14093,24045,16242,59952,3901,14491,14809,21019,9363,7962,21975,32484,27946,478,27070,14013,33758,17356,10032,47611,41720,12706,16481,4856,5334,55000,6449,12930,8917,4841,9729,18631,13217,1433,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1591,11305,NA,29459,NA,23408,15128,3980,0,3486,NA,28630,1863,NA,30891,10986,5891,NA,6656,NA,NA,NA,4140,NA,NA,15127,95063,49521,27548,31528,14172,49841,3550,15127,14426,7978,3901,9092,19427,55812,8949,0,35191,21593,14808,18153,6210,117421,59793,3662,33041,5733,8996,41847,5335,26783,5892,4936,10669,6210,7962,1274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1194,23631,NA,35924,NA,28297,29619,5414,0,7468,NA,14077,3614,NA,21338,15287,5733,NA,1194,NA,NA,NA,1592,NA,NA,18949,113121,135206,20541,21178,25478,100732,6846,13376,12962,31465,5494,2595,24554,50318,6385,255,35748,15159,36624,22373,14968,106353,48249,18949,28917,8837,10397,114538,12818,70509,7485,13057,21816,4937,3980,796,1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
